show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s125,Movie,Sample Title 125,Director 5,"Actor 5, Actress 5",Japan,14 February 2010,2001,TV-MA,104 min,Horror,Synthetic description for sample title 125.
s126,Movie,Sample Title 126,Director 6,"Actor 6, Actress 6",Brazil,1 April 2010,2002,G,151 min,Drama,Synthetic description for sample title 126.
s127,TV Show,Sample Title 127,Director 7,"Actor 7, Actress 7",India,3 April 2010,2016,PG,67 min,Horror,Synthetic description for sample title 127.
s128,TV Show,Sample Title 128,Director 8,"Actor 8, Actress 8",Turkey,28 April 2019,2012,R,2 Seasons,Romance,Synthetic description for sample title 128.
s129,TV Show,Sample Title 129,Director 9,"Actor 9, Actress 9",Brazil,13 February 2011,2004,TV-PG,3 Seasons,Romance,Synthetic description for sample title 129.
s130,TV Show,Sample Title 130,Director 10,"Actor 10, Actress 0",India,15 March 2010,2001,TV-MA,145 min,Comedy,Synthetic description for sample title 130.
s131,TV Show,Sample Title 131,Director 11,"Actor 11, Actress 1",Canada,4 February 2015,2001,PG-13,170 min,Sci-Fi,Synthetic description for sample title 131.
s132,TV Show,Sample Title 132,Director 12,"Actor 12, Actress 2",Brazil,10 January 2017,1995,TV-14,126 min,Action,Synthetic description for sample title 132.
s133,Movie,Sample Title 133,Director 13,"Actor 13, Actress 3",United Kingdom,5 February 2014,2010,G,1 Seasons,Horror,Synthetic description for sample title 133.
s134,Movie,Sample Title 134,Director 14,"Actor 14, Actress 4",India,18 March 2016,1991,TV-14,1 Seasons,Comedy,Synthetic description for sample title 134.
s135,Movie,Sample Title 135,Director 15,"Actor 0, Actress 5",Turkey,12 January 2021,1990,PG,3 Seasons,Romance,Synthetic description for sample title 135.
s136,TV Show,Sample Title 136,Director 16,"Actor 1, Actress 6",Turkey,6 March 2022,2002,PG-13,8 Seasons,Horror,Synthetic description for sample title 136.
s137,TV Show,Sample Title 137,Director 17,"Actor 2, Actress 7",United Kingdom,2 February 2012,1996,TV-MA,116 min,Drama,Synthetic description for sample title 137.
s138,TV Show,Sample Title 138,Director 18,"Actor 3, Actress 8",Canada,17 February 2020,2002,TV-PG,97 min,Documentary,Synthetic description for sample title 138.
s139,Movie,Sample Title 139,Director 19,"Actor 4, Actress 9",Turkey,10 April 2021,2001,TV-PG,173 min,Romance,Synthetic description for sample title 139.
s140,Movie,Sample Title 140,Director 0,"Actor 5, Actress 0",Japan,26 January 2012,1995,TV-MA,86 min,Drama,Synthetic description for sample title 140.
s141,Movie,Sample Title 141,Director 1,"Actor 6, Actress 1",India,24 April 2012,1990,G,175 min,Action,Synthetic description for sample title 141.
s142,TV Show,Sample Title 142,Director 2,"Actor 7, Actress 2",India,24 January 2020,2012,PG-13,120 min,Action,Synthetic description for sample title 142.
s143,TV Show,Sample Title 143,Director 3,"Actor 8, Actress 3",Turkey,27 January 2022,2022,PG,74 min,Comedy,Synthetic description for sample title 143.
s144,TV Show,Sample Title 144,Director 4,"Actor 9, Actress 4",Brazil,7 April 2023,2016,G,3 Seasons,Sci-Fi,Synthetic description for sample title 144.
s145,TV Show,Sample Title 145,Director 5,"Actor 10, Actress 5",United States,20 February 2016,1994,PG,10 Seasons,Drama,Synthetic description for sample title 145.
s146,Movie,Sample Title 146,Director 6,"Actor 11, Actress 6",United States,25 April 2017,2008,TV-14,173 min,Documentary,Synthetic description for sample title 146.
s147,Movie,Sample Title 147,Director 7,"Actor 12, Actress 7",Brazil,1 April 2011,2006,TV-14,137 min,Romance,Synthetic description for sample title 147.
s148,TV Show,Sample Title 148,Director 8,"Actor 13, Actress 8",United States,5 April 2021,2014,PG,2 Seasons,Horror,Synthetic description for sample title 148.
s149,Movie,Sample Title 149,Director 9,"Actor 14, Actress 9",India,17 February 2013,2016,PG-13,168 min,Comedy,Synthetic description for sample title 149.
s150,Movie,Sample Title 150,Director 10,"Actor 0, Actress 0",Canada,22 April 2020,1998,PG,8 Seasons,Sci-Fi,Synthetic description for sample title 150.
s151,TV Show,Sample Title 151,Director 11,"Actor 1, Actress 1",United States,4 March 2012,2000,TV-MA,1 Seasons,Horror,Synthetic description for sample title 151.
s152,TV Show,Sample Title 152,Director 12,"Actor 2, Actress 2",India,8 March 2021,2003,PG-13,5 Seasons,Romance,Synthetic description for sample title 152.
s153,Movie,Sample Title 153,Director 13,"Actor 3, Actress 3",Japan,1 January 2022,1996,R,10 Seasons,Comedy,Synthetic description for sample title 153.
s154,Movie,Sample Title 154,Director 14,"Actor 4, Actress 4",Canada,24 January 2018,2022,PG,9 Seasons,Action,Synthetic description for sample title 154.
s155,TV Show,Sample Title 155,Director 15,"Actor 5, Actress 5",Brazil,15 January 2019,2002,R,142 min,Action,Synthetic description for sample title 155.
s156,Movie,Sample Title 156,Director 16,"Actor 6, Actress 6",India,3 February 2018,2003,PG-13,8 Seasons,Romance,Synthetic description for sample title 156.
s157,Movie,Sample Title 157,Director 17,"Actor 7, Actress 7",Brazil,27 January 2012,2014,G,140 min,Drama,Synthetic description for sample title 157.
s158,Movie,Sample Title 158,Director 18,"Actor 8, Actress 8",United States,24 January 2016,2018,R,3 Seasons,Drama,Synthetic description for sample title 158.
s159,TV Show,Sample Title 159,Director 19,"Actor 9, Actress 9",Brazil,3 March 2020,2023,PG,4 Seasons,Drama,Synthetic description for sample title 159.
s160,Movie,Sample Title 160,Director 0,"Actor 10, Actress 0",Turkey,12 March 2013,1990,G,1 Seasons,Drama,Synthetic description for sample title 160.
s161,TV Show,Sample Title 161,Director 1,"Actor 11, Actress 1",Brazil,4 March 2010,2019,TV-MA,5 Seasons,Documentary,Synthetic description for sample title 161.
s162,TV Show,Sample Title 162,Director 2,"Actor 12, Actress 2",Turkey,4 April 2014,1994,TV-PG,167 min,Sci-Fi,Synthetic description for sample title 162.
s163,TV Show,Sample Title 163,Director 3,"Actor 13, Actress 3",Turkey,10 March 2016,1992,PG,76 min,Drama,Synthetic description for sample title 163.
s164,Movie,Sample Title 164,Director 4,"Actor 14, Actress 4",Canada,1 February 2012,2023,R,87 min,Horror,Synthetic description for sample title 164.
s165,TV Show,Sample Title 165,Director 5,"Actor 0, Actress 5",United Kingdom,2 January 2022,2022,PG-13,8 Seasons,Comedy,Synthetic description for sample title 165.
s166,TV Show,Sample Title 166,Director 6,"Actor 1, Actress 6",Japan,24 January 2021,1994,TV-MA,66 min,Horror,Synthetic description for sample title 166.
s167,TV Show,Sample Title 167,Director 7,"Actor 2, Actress 7",Japan,28 February 2018,2022,PG,123 min,Drama,Synthetic description for sample title 167.
s168,TV Show,Sample Title 168,Director 8,"Actor 3, Actress 8",Turkey,5 April 2010,1991,TV-PG,5 Seasons,Romance,Synthetic description for sample title 168.
s169,Movie,Sample Title 169,Director 9,"Actor 4, Actress 9",India,5 January 2013,2019,TV-MA,61 min,Documentary,Synthetic description for sample title 169.
s170,Movie,Sample Title 170,Director 10,"Actor 5, Actress 0",Turkey,25 April 2015,2021,PG-13,1 Seasons,Romance,Synthetic description for sample title 170.
s171,TV Show,Sample Title 171,Director 11,"Actor 6, Actress 1",United Kingdom,5 January 2023,2006,PG,169 min,Horror,Synthetic description for sample title 171.
s172,TV Show,Sample Title 172,Director 12,"Actor 7, Actress 2",United States,27 April 2019,2001,PG,63 min,Comedy,Synthetic description for sample title 172.
s173,TV Show,Sample Title 173,Director 13,"Actor 8, Actress 3",United States,26 February 2020,2021,R,5 Seasons,Horror,Synthetic description for sample title 173.
s174,TV Show,Sample Title 174,Director 14,"Actor 9, Actress 4",Japan,21 March 2015,1995,TV-PG,88 min,Comedy,Synthetic description for sample title 174.
s175,TV Show,Sample Title 175,Director 15,"Actor 10, Actress 5",India,6 January 2016,2015,R,8 Seasons,Comedy,Synthetic description for sample title 175.
s176,Movie,Sample Title 176,Director 16,"Actor 11, Actress 6",India,2 January 2011,1995,PG-13,137 min,Drama,Synthetic description for sample title 176.
s177,Movie,Sample Title 177,Director 17,"Actor 12, Actress 7",India,21 February 2015,2003,G,6 Seasons,Comedy,Synthetic description for sample title 177.
s178,TV Show,Sample Title 178,Director 18,"Actor 13, Actress 8",United Kingdom,4 February 2020,2000,TV-PG,3 Seasons,Comedy,Synthetic description for sample title 178.
s179,Movie,Sample Title 179,Director 19,"Actor 14, Actress 9",United States,22 January 2023,2014,G,5 Seasons,Drama,Synthetic description for sample title 179.
s180,TV Show,Sample Title 180,Director 0,"Actor 0, Actress 0",United Kingdom,5 March 2020,2020,R,5 Seasons,Sci-Fi,Synthetic description for sample title 180.
s181,Movie,Sample Title 181,Director 1,"Actor 1, Actress 1",Japan,25 April 2010,1992,PG-13,3 Seasons,Drama,Synthetic description for sample title 181.
s182,TV Show,Sample Title 182,Director 2,"Actor 2, Actress 2",Japan,16 April 2012,1992,TV-MA,3 Seasons,Comedy,Synthetic description for sample title 182.
